,국가,환자발생수,사망자수,지역
0,중국,"87,027"," 4,634",아시아
1,홍콩,"8,724", 143,아시아
2,대만,795, 7,아시아
3,마카오,46,,아시아
4,일본,"223,120"," 3,306",아시아
5,싱가포르,"58,529", 29,아시아
6,태국,"6,440", 61,아시아
7,말레이시아,"106,690", 455,아시아
8,베트남,"1,451", 35,아시아
9,인도,"10,224,303"," 148,153",아시아
10,필리핀,"470,650"," 9,124",아시아
11,캄보디아,364,,아시아
12,네팔,"258,840"," 1,832",아시아
13,스리랑카,"41,603", 194,아시아
14,아프가니스탄,"52,147"," 2,182",아시아
15,파키스탄,"473,309"," 9,929",아시아
16,인도네시아,"719,219"," 21,452",아시아
17,부탄,623,,아시아
18,몰디브,"13,660", 48,아시아
19,방글라데시,"510,080"," 7,479",아시아
20,브루나이,152, 3,아시아
21,몽골,"1,137",,아시아
22,카자흐스탄,"198,659"," 2,749",아시아
23,우즈베키스탄,"76,907", 613,아시아
24,키르기스스탄,"80,654"," 1,353",아시아
25,동티모르,41,,아시아
26,미얀마,"122,534"," 2,618",아시아
27,라오스,41,,아시아
28,타지키스탄,"13,182", 89,아시아
29,이란,"1,206,373"," 54,814",중동
30,바레인,"91,935", 351,중동
31,이집트,"133,900"," 7,466",중동
32,이라크,"592,528"," 12,791",중동
33,요르단,"289,748"," 3,778",중동
34,쿠웨이트,"149,857", 932,중동
35,레바논,"172,820"," 1,409",중동
36,리비아,"98,913"," 1,440",중동
37,모로코,"433,029"," 7,272",중동
38,오만,"128,563"," 1,495",중동
39,카타르,"143,222", 244,중동
40,사우디아라비아,"362,339"," 6,196",중동
41,시리아,"11,138", 686,중동
42,튀니지,"133,204"," 4,518",중동
43,이스라엘,"383,715"," 3,138",중동
44,아랍에미리트,"202,863", 660,중동
45,알제리,"98,249"," 2,728",중동
46,예멘,"2,100", 609,중동
47,미국,"18,972,813"," 330,644",아메리카
48,캐나다,"552,020"," 14,964",아메리카
49,멕시코,"1,383,434"," 122,426",아메리카
50,파나마,"231,357"," 3,840",아메리카
51,온두라스,"119,713"," 3,066",아메리카
52,과테말라,"135,441"," 4,773",아메리카
53,코스타리카,"162,990"," 2,086",아메리카
54,엘살바도르,"45,415"," 1,313",아메리카
