,인구수,국가,환자발생수,사망자수,지역
0,1400000000,중국,"87,027"," 4,634",아시아
1,1380004192,인도,"10,224,303"," 148,153",아시아
2,330520820,미국,"18,972,813"," 330,644",아메리카
3,274423825,인도네시아,"719,219"," 21,452",아시아
4,220892331,파키스탄,"473,309"," 9,929",아시아
5,211349952,브라질,"7,484,285"," 191,139",아메리카
6,206139587,나이지리아,"84,811"," 1,264",아프리카
7,168641968,방글라데시,"510,080"," 7,479",아시아
8,146748600,러시아,"3,105,037"," 55,827",유럽
9,126200000,멕시코,"1,383,434"," 122,426",아메리카
10,125960000,일본,"223,120"," 3,306",아시아
11,109200000,에티오피아,"123,145"," 1,912",아프리카
12,108654613,필리핀,"470,650"," 9,124",아시아
13,100407540,이집트,"133,900"," 7,466",중동
14,96208984,베트남,"1,451", 35,아시아
15,83103882,터키,"1,348,437"," 20,135",유럽
16,82877128,이란,"1,206,373"," 54,814",중동
17,82379121,독일,"1,664,726"," 30,978",유럽
18,69467317,태국,"6,440", 61,아시아
19,66830229,영국,"2,329,734"," 71,109",유럽
20,65712057,프랑스,"2,519,105"," 62,732",유럽
21,61357829,탄자니아,509, 21,아프리카
22,59575231,이탈리아,"2,056,277"," 72,370",유럽
23,54339766,미얀마,"122,534"," 2,618",아시아
24,52240975,케냐,"95,992"," 1,664",아프리카
25,49841562,콜롬비아,"1,594,497"," 42,171",아메리카
26,46733038,스페인,"1,879,413"," 50,122",유럽
27,45958837,우간다,"33,811", 248,아프리카
28,45661935,아르헨티나,"1,583,927"," 42,650",아메리카
29,44851834,알제리,"98,249"," 2,728",중동
30,44780237,수단,"23,316"," 1,468",아프리카
31,43609194,우크라이나,"1,037,362"," 18,081",유럽
32,39127900,이라크,"592,528"," 12,791",중동
33,38413000,폴란드,"1,268,634"," 27,454",유럽
34,36488800,캐나다,"552,020"," 14,964",아메리카
35,35029100,모로코,"433,029"," 7,272",중동
36,33516570,우즈베키스탄,"76,907", 613,아시아
37,33413660,사우디아라비아,"362,339"," 6,196",중동
38,32738000,말레이시아,"106,690", 455,아시아
39,32495510,페루,"1,007,657"," 37,474",아메리카
40,32219521,베네수엘라,"112,316"," 1,014",아메리카
41,31575018,아프가니스탄,"52,147"," 2,182",아시아
42,30280811,가나,"54,503", 333,아프리카
43,30175553,앙골라,"17,240", 399,아프리카
44,29609623,네팔,"258,840"," 1,832",아시아
45,29579986,예멘,"2,100", 609,중동
46,27909798,모잠비크,"18,265", 161,아프리카
47,25823071,코트디부아르,"22,176", 137,아프리카
48,25263000,마다가스카르,"17,714", 261,아프리카
49,24348251,카메룬,"26,277", 448,아프리카
50,22314743,니제르,"3,005", 91,아프리카
51,21670112,스리랑카,"41,603", 194,아시아
52,20870060,부르키나파소,"6,344", 78,아프리카
53,19973000,말리,"6,703", 256,아프리카
54,19523621,루마니아,"618,429"," 15,334",유럽
55,19107216,칠레,"602,028"," 16,443",아메리카
56,18499181,시리아,"11,138", 686,중동
57,18481664,카자흐스탄,"198,659"," 2,749",아시아
58,17679735,과테말라,"135,441"," 4,773",아메리카
59,17563749,말라위,"6,354", 188,아프리카
60,17381168,잠비아,"19,943", 384,아프리카
61,17320400,네덜란드,"770,732"," 11,047",유럽
62,17245100,에콰도르,"209,758"," 13,994",아메리카
63,16289270,캄보디아,364,,아시아
64,16209125,세네갈,"18,728", 390,아프리카
65,15692969,차드,"2,015", 104,아프리카
66,14742523,소말리아,"4,690", 127,아프리카
67,15159624,짐바브웨,"13,148", 354,아프리카
68,12778250,남수단,"3,491", 62,아프리카
69,12374397,르완다,"8,021", 75,아프리카
70,12218357,기니,"13,688", 80,아프리카
71,11733059,베냉,"3,205", 44,아프리카
72,11577779,아이티,"9,958", 236,아메리카
73,11551448,튀니지,"133,204"," 4,518",중동
74,11469896,볼리비아,"154,843"," 9,098",아메리카
75,11467362,벨기에,"639,734"," 19,234",유럽
76,11221060,쿠바,"11,434", 143,아메리카
77,10741165,그리스,"135,931"," 4,672",유럽
78,10649800,체코,"685,202"," 11,302",유럽
79,10422800,요르단,"289,748"," 3,778",중동
80,10291027,포르투갈,"396,666"," 6,677",유럽
81,10255102,스웨덴,"396,048"," 8,279",유럽
82,9981457,아제르바이잔,"215,483"," 2,538",유럽
83,9778371,헝가리,"317,571"," 9,292",유럽
84,9682088,아랍에미리트,"202,863", 660,중동
85,9465300,벨라루스,"188,588"," 1,394",유럽
86,9158345,온두라스,"119,713"," 3,066",아메리카
87,9033730,이스라엘,"383,715"," 3,138",중동
88,8931000,타지키스탄,"13,182", 89,아시아
89,8859992,오스트리아,"351,386"," 5,872",유럽
