,인구수,국가
0,1400000000,중국
1,1380004192,인도
2,330520820,미국
3,274423825,인도네시아
4,220892331,파키스탄
5,211349952,브라질
6,206139587,나이지리아
7,168641968,방글라데시
8,146748600,러시아
9,126200000,멕시코
10,125960000,일본
11,109200000,에티오피아
12,108654613,필리핀
13,100407540,이집트
14,96208984,베트남
15,85727573,콩고 민주 공화국
16,83103882,터키
17,82877128,이란
18,82379121,독일
19,69467317,태국
20,66830229,영국
21,65712057,프랑스
22,61357829,탄자니아
23,59575231,이탈리아
24,58125658,남아프리카 공화국
25,54339766,미얀마
26,52240975,케냐
27,51780579,대한민국
28,49841562,콜롬비아
29,46733038,스페인
30,45958837,우간다
31,45661935,아르헨티나
32,44851834,알제리
33,44780237,수단
34,43609194,우크라이나
35,39127900,이라크
36,38413000,폴란드
37,36488800,캐나다
38,35029100,모로코
39,33516570,우즈베키스탄
40,33413660,사우디아라비아
41,32738000,말레이시아
42,32495510,페루
43,32219521,베네수엘라
44,31575018,아프가니스탄
45,30280811,가나
46,30175553,앙골라
47,29609623,네팔
48,29579986,예멘
49,27909798,모잠비크
50,25823071,코트디부아르
51,25750000,조선민주주의인민공화국
52,25371700,오스트레일리아
53,25263000,마다가스카르
54,24348251,카메룬
55,23604265,중화민국
56,22314743,니제르
57,21670112,스리랑카
58,20870060,부르키나파소
59,19973000,말리
60,19523621,루마니아
61,19107216,칠레
62,18499181,시리아
63,18481664,카자흐스탄
64,17679735,과테말라
65,17563749,말라위
66,17381168,잠비아
67,17320400,네덜란드
68,17245100,에콰도르
69,16289270,캄보디아
70,16209125,세네갈
71,15692969,차드
72,14742523,소말리아
73,15159624,짐바브웨
74,12778250,남수단
75,12374397,르완다
76,12218357,기니
77,11733059,베냉
78,11577779,아이티
79,11551448,튀니지
80,11469896,볼리비아
81,11467362,벨기에
82,11221060,쿠바
83,10953317,부룬디
84,10741165,그리스
85,10649800,체코
86,10422800,요르단
87,10358320,도미니카 공화국
88,10291027,포르투갈
89,10255102,스웨덴
90,9981457,아제르바이잔
91,9778371,헝가리
92,9682088,아랍에미리트
93,9465300,벨라루스
94,9158345,온두라스
95,9033730,이스라엘
96,8931000,타지키스탄
97,8859992,오스트리아
98,8558800,파푸아뉴기니
99,8542323,스위스
100,7901454,시에라리온
101,7538000,토고
102,7482500,홍콩
103,7152703,파라과이
104,7123205,라오스
105,7001444,세르비아
106,7000039,불가리아
107,6704864,엘살바도르
108,6569864,리비아
109,6393824,니카라과
110,6389500,키르기스스탄
111,6065922,레바논
112,5942561,투르크메니스탄
113,5811413,덴마크
114,5638700,싱가포르
115,5542197,콩고 공화국
116,5518393,핀란드
117,5496011,중앙아프리카 공화국
118,5450421,슬로바키아
119,5334762,노르웨이
120,5309659,에리트레아
121,5058007,코스타리카
122,4976684,팔레스타인
123,4966430,뉴질랜드
124,4857000,아일랜드
125,4683872,오만
126,4475353,라이베리아
127,4420110,쿠웨이트
128,4218808,파나마
129,4105493,크로아티아
130,4077347,모리타니
131,3723500,조지아
132,3547539,몰도바
133,3518552,우루과이
134,3501774,보스니아 헤르체고비나
135,3259290,몽골
136,3195153,푸에르토리코
137,2962100,아르메니아
138,2862427,알바니아
139,2790472,리투아니아
140,2772294,카타르
141,2726667,자메이카
142,2458936,나미비아
143,2338851,보츠와나
144,2228075,감비아
145,2109099,가봉
146,2080908,슬로베니아
147,2075301,북마케도니아
148,2007201,레소토
149,1915100,라트비아
150,1798506,코소보
151,1604528,기니비사우
152,1543300,바레인
153,1131664,동티모르
154,1359193,트리니다드 토바고
155,1358276,적도 기니
156,1324820,에스토니아
